Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets;Texto_Traduz;Classificação_Blob;percent_pos_blob;percent_neg_blob;Azure_Sentiment;Azure_percent_pos;Azure_percent_neg;Azure_percent_neutro;Classificacao_flair;percent_pos_flar;percent_neg_flar;Percent_Media_final;Class_final
Carla Tavares 🦷;carla_O_tavares;2022-09-13 17:17:19+00:00; Parabéns Iran por sua coragem. Isso mostra que felicidade está em nossas origens 🤍;0;0;0;Congratulations Iran for your courage. This shows that happiness is in our origins 🤍;pos;0.9701180915437504;0.0298819084562504;positive;0.98;0.01;0.02;POSITIVE;0.9887818694114685;0.011218130588531494;0.9810974043380982;Positivo
Ronaldinho.96;96Ronaldinho;2022-09-13 20:59:19+00:00;Alguém me explica o porque acabou o sensacional, o magnífico, o melhor do mundo, o RECEBA????? ;0;0;0;Can someone explain to me why the sensational, the magnificent, the best in the world, RECEBA is over?????;pos;0.9337379340373332;0.0662620659626666;positive;0.98;0.01;0.01;POSITIVE;0.9996322393417358;0.00036776065826416016;0.9790003446744008;Positivo
Pérola Negra;mooreirapamella;2022-09-13 23:14:30+00:00;  Meus quase 40 chegando e t9 cada dia + feliz com minhas escolhas de priorizar o cuidado com meu eu, ficou diploma, casamento, amizades,carreira...tudo pelo caminho, mas consegui me resgatar e hj é viver um dia de cada vez, o resto pode esperar, certeza q ele fez a coisa certa;0;2;0;I'm almost 40 arriving and t9 every day + happy with my choices to prioritize taking care of my self, I got a degree, marriage, friendships, career... all along the way, but I managed to rescue myself and today it's living one day at a time, the rest can wait, sure he did the right thing;pos;0.9505350085915624;0.0494649914084369;positive;0.97;0.01;0.02;POSITIVE;0.9977020621299744;0.0022979378700256348;0.9751341618359302;Positivo
Gutto;guttosaraivaa;2022-09-13 19:13:26+00:00;Que o Luva de pedreiro fique bem logo, esse Mlk merece o mundo❤️🥹;0;0;0;May the Mason Glove be well soon, this Mlk deserves the world ❤️🥹;pos;0.820761055813778;0.1792389441862225;positive;0.98;0.0;0.01;POSITIVE;0.9939053654670715;0.006094634532928467;0.9612245409639887;Positivo
Sidney Sccp 🇵🇹;Sidneysccp90;2022-09-13 18:35:36+00:00; É até triste isso luva de pedreiro encantou o Brasil e o mundo com o seu talento e humildade agora ele quer viver de boa;0;1;0;It's even sad that bricklayer's glove enchanted Brazil and the world with his talent and humility now he wants to live well;pos;0.8970617610969627;0.102938238903035;positive;0.98;0.01;0.01;POSITIVE;0.9487931132316589;0.051206886768341064;0.9592354267943257;Positivo
Rubem Rodriguez 🇧🇷🍺;RubemRodriguez1;2022-09-13 19:42:15+00:00;" Era um cara que ficava chutando bola, mas fazia uns golaços e gritava ""O cara da Luva de pedreiro é o melhor do mundo""
Assim, meme pra ficar saturado, mas pelo menos fico feliz que deu pra mudar a vida dele e da família";0;1;0;"He was a guy who kept kicking the ball, but he made some great goals and shouted ""The guy with the mason's gloves is the best in the world""
So, meme to get saturated, but at least I'm happy that it could change his and his family's life";pos;0.8831974604826077;0.1168025395173958;positive;0.97;0.02;0.01;POSITIVE;0.9729704856872559;0.02702951431274414;0.9584483474081599;Positivo
Coluna de Análise;colunadeanalise;2022-09-13 22:53:22+00:00;"A  aqui foi PERFEITA. Imagina como deve estar a cabeça do Luva de Pedreiro com tudo isso que vem ocorrendo na vida dele. Que o Iran encontre a paz que deseja!

";0;0;0;The one here was PERFECT. Imagine how Glova de Pedreiro's head must be with all that's been happening in his life. May Iran find the peace it desires!;pos;0.9515003916668134;0.0484996083331862;positive;0.94;0.02;0.05;POSITIVE;0.9984727501869202;0.001527249813079834;0.9583494131486648;Positivo
Anderson Hilário;AnderHill;2022-09-13 20:44:34+00:00; conquiste o mundo mas não perca sua essência. Foi ela que te trouxe aqui. Desejo a maior bênção do mundo: ser feliz e saber que o é!;0;0;0;conquer the world but don't lose your essence. She's the one who brought you here. I wish the greatest blessing in the world: to be happy and to know that you are!;pos;0.8626782146478628;0.1373217853521378;positive;0.96;0.01;0.03;POSITIVE;0.9984669089317322;0.0015330910682678223;0.9570874332159038;Positivo
Antony sem H e com y;AntonyDavi15;2022-09-13 16:28:10+00:00;"É tão BOM, poder falar sobre um assunto como a ""revolução industrial"" ou sobre, o ""luva de pedreiro"", com a MESMA PESSOA!!!";0;2;0;"It's so GOOD, to be able to talk about a subject like the ""industrial revolution"" or about, the ""mason's glove"", with the SAME PERSON!!!";pos;0.9311876495246704;0.0688123504753321;positive;0.94;0.03;0.03;POSITIVE;0.9991732239723206;0.0008267760276794434;0.9556477282099015;Positivo
Streamer simulator;Flaivin_OF;2022-09-13 17:38:54+00:00;Os viúvos do  podem me seguir! Trarei alegria pra vcs!!;0;0;0;Widowers can follow me! I will bring you joy!!;pos;0.8443068594493347;0.1556931405506652;positive;0.96;0.01;0.03;POSITIVE;0.9952970147132874;0.0047029852867126465;0.9535572698394156;Positivo
