Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Zé Dudu;blogdozedudu;2022-09-14 01:18:37+00:00;Iran Ferreira, o Luva de Pedreiro anuncia fim da carreira de influencer https://t.co/BRIiifHIBq;0;0;0
Lony;LON6767;2022-09-14 01:17:24+00:00;@anthunesarth O ex empresário do luva de pedreiro riu disso...;0;0;0
Alice no País das Coincidências;tatiaz;2022-09-14 01:16:05+00:00;"@naosalvo Luva de Pedreiro - 22
Ana Maria Braga - Tebet 
Xaropinho - 22
Andre Marques - Tebet 
Luciano Huck - ctz que é 22 escondido
Toguro - 22
Manoel Caneta Azul - 22 
Rei Charles III - Ciro 
Rogério Flausino - Ciro 
Tite - 13";0;0;0
busco goleiro;spfcsfm_;2022-09-14 01:16:04+00:00;caramba vei nem acabou 2022 e o luva de pedreiro já flopou kkkk;0;0;0
vini;viniciusaquilo;2022-09-14 01:15:49+00:00;sera que agora o luva de pedreiro vai aprender a ler e escrever;0;0;0
Ma_Campelo;Ma_Campelo;2022-09-14 01:15:33+00:00;@LimaVanessa @luvadepedreiro me falta grana não vontade 😂;0;0;0
Welington ;SilvaWelington;2022-09-14 01:13:17+00:00;"Aproveitem que o Luva de Pedreiro pendurou as chuteiras e inscrevam-se em meu canal. 

Garanto que tem mais serventia. https://t.co/2roVvuYzNI";0;0;0
Vale Mais Notícias;ValeMaisNotcia1;2022-09-14 01:12:56+00:00;"Luva de Pedreiro anuncia fim da carreira
https://t.co/LHs7Acwheq";0;0;0
Fabiomartis.palmeira. Com Palmeira;FabiomartisP;2022-09-14 01:12:45+00:00;@BrennoBeretta Te cuida @luvadepedreiro  Deus e contigo;0;0;0
esteves 🇧🇷;estevizz;2022-09-14 01:11:18+00:00;@Leomengao22 @g1 nada de absurdo aconteceu, n sei sua idade mas é q existe um bgl na internet q chama meme, onde todo mundo aq acha engraçado e se torna viral, caze e luva de pedreiro foram mais valorizados por causa do carisma deles, e nao tem nada de errado nisso, mas respeito sua opinião 🤙;0;0;0
valeria;sucksvalerio;2022-09-14 01:10:34+00:00;"cláusula de contrato: requerimos ensino fundamental para vinculação com a empresa 

luva de pedreiro: vo parar https://t.co/755yMUyBpu";0;0;0
💀🚬;rosesngarbage;2022-09-14 01:08:57+00:00;Ah mas a cor da sereia que não sei oq das crianças representadas e o Bolsonaro e as eleições não sei oq lá que disse o padre tal de não sei quê de luva de pedreiro sério sinceramente não importa já parou pra pensar que no fundo nada disso importa?????;0;1;0
maquinista💯;Suarez_lc1;2022-09-14 01:08:50+00:00;"O luva de pedreiro encerrou a carreira né? ""Eu nun sei nem quem é esse luca Ferreira"" kkkkkkkkkkkkk";0;0;0
Ramon Oliveira;Ramonoliveeiira;2022-09-14 01:07:44+00:00;Luva de pedreiro parou mas tem o luva de maconheiro @Paizaott https://t.co/0wimAt81sF;0;0;0
Joe Rakw;RakwJoe;2022-09-14 01:07:37+00:00;@forumpandlr Primeiro o luva de pedreiro, agora isso. Jesus está voltando;0;1;0
Rodrigo de Jesus Barbosa;rodrigojbar;2022-09-14 01:06:35+00:00;@JoaquinTeixeira @luvadepedreiro Descansaaaar Pai, que o homi não é de ferro... kkkkkk;0;0;0
Vinícius;llvinicim;2022-09-14 01:05:10+00:00;@leoyahata @luvadepedreiro Ouvi falar q ele tá estressado;0;0;0
Pedro Ariji;PedroAriji;2022-09-14 01:04:42+00:00;"Luva de Pedreiro - Daciolo
Ana Maria Braga - Lula
Xaropinho - Bolsonaro
Andre Marques - Tebet
Luciano Huck - ""Amoedo""
Toguro - Sofia Manzano
Manoel Caneta Azul - Lula
Rei Charles III - Eymael 
Rogério Flausino - Tebet
Tite - Cássio https://t.co/74j7QsgkbU";0;0;0
Andressa Teodoro;andressateodoro;2022-09-14 01:04:23+00:00;Eu entendo um pouco o Luva de Pedreiro, não é todo mundo que está preparado psicologicamente para o peso mental da fama e a quantidade de trabalho que aparece por causa disso.;0;0;0
cris;seucristhian;2022-09-14 01:03:49+00:00;esse luva de pedreiro é bem gay;0;0;0
Picareta de fachada 🎭;Saint_Pablitoo;2022-09-14 01:03:35+00:00;Porra mataram o luva de pedreiro, parece um episódio de black mirror.;0;0;0
rapmais;RapMais;2022-09-14 01:02:38+00:00;Falcão fala sobre decisão do Luva de Pedreiro de abandonar carreira - https://t.co/DkY0xbqMrA https://t.co/i0lfxZMqql;0;75;2
DRIBLAGEM;dribllagem_;2022-09-14 01:01:57+00:00;Luva de Pedreiro anunciou que irá encerrar a sua carreira de influenciador digital, a internet vai sentir muito a sua falta, luva!🧤😞 https://t.co/m7tcwojIKQ;0;1;0
Gb;gbisonfire;2022-09-14 01:01:22+00:00;luva de pedreiro hj https://t.co/CcFy3M5V3X;0;0;0
framenguista;lorge_jucas;2022-09-14 01:00:34+00:00;e o luva de pedreiro que pegou uma chuvinha no rock in rio, ficou gripado e já quer desistir da carreira kkkkkkkkkkk coe mane, esse ai num guenta 1 semana no expresso do ramal japeri.;0;0;0
Kawooo;kawozito;2022-09-14 01:00:22+00:00;krl o luva de pedreiro é mto burro filh;0;0;0
Dimitrio Martins;DimitrioLuiz;2022-09-14 01:00:18+00:00;Milly Lacombe - Na história de Luva de Pedreiro, nosso melhor e nosso pior https://t.co/GYSAqqLF39 via @UOLEsporte @UOL;0;0;0
Posta Bot;posta_bot;2022-09-14 01:00:00+00:00;Luva de pedreiro diz que 'não dá para entender' Vanderlei Luxemburgo fora da seleção francesa.;0;0;0
