Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
julie;stylesfavss;2022-11-22 01:34:35+00:00;@iHrryDoBundao BRINCADEIRA HEIN TITE KKKKKKKKKKKKKKKKKKKKKKKKKKKK;0;0;0
pequeno 8️⃣0️⃣🗳;pequenomesmo;2022-11-22 01:34:29+00:00;po tite, Raphinha titular no lugar do Rodrygo é brincadeira;0;0;0
jude fucking bellingham;Sett_777;2022-11-22 01:34:19+00:00;@locritico2043 @futtmais @geglobo pessoal reclamando e antes chamava o tite de retranqueiro;0;0;0
Matheus Leal;Kajeka21;2022-11-22 01:34:01+00:00;"@comentaristaedu O Tite escolheu um Olheiro 
da sua comissão técnica pra acompanhar exclusivamente a Seleção da Argentina 👀 O cara vai destrinchar os Argentinos de cabo a rabo 📋 https://t.co/ARbrd09eDF";0;1;0
Adryãnᶜʳᶠ;JJAdryan;2022-11-22 01:33:38+00:00;Se o tite lançar isso daqui eu terei que ser o maior torcedor da amarelinha ja visto https://t.co/vbtz1uysqt;0;0;0
Falando do Palmeiras | HENDECA 11x 🇧🇷 🔥🏆;Reeduka__;2022-11-22 01:33:29+00:00;"@zanittei @choquei ainda bem que o tite não ouve suas ""opiniões""";0;0;0
Cadu;caduzziin;2022-11-22 01:33:28+00:00;Tite ofensivo 😍😍, está acontecendo meus amigos, está acontecendo https://t.co/lSlL5cZQte;0;0;0
saLomão.7🇧🇷;goldocanoL;2022-11-22 01:33:23+00:00;@ramonagusyeva no catar o Brasil foi hexa porque o tite n convocar o fluminense;0;0;0
M.A.N.T.O.;useo_manto;2022-11-22 01:33:20+00:00;Coragem, Tite! O meio-campo da Sérvia não marca muito. Escala o Vinicius Jr. Deixa os 2 volantes para depois. Joga sem medo. Como Brasil... https://t.co/2jPHs54xuC;0;0;0
...;G0FLA;2022-11-22 01:33:13+00:00;"@14lngram @bennufc_18 Sim...
Tite não tira Paquetá do time não. Paquetá joga em todas funções do meio pra frente e vem sendo um dos melhores junto do Neymar 
É mais fácil ele tirar Vini Jr, colocar Paquetá de ponta e Bruno Guimarães no meio";0;0;0
Marcos;marcos97948191;2022-11-22 01:33:08+00:00;"Sem Fred. Obrigado Tite

Mas Richarlison n...Põe o Jesus, Pedro, sla. Sou alérgico a bagre https://t.co/FtozkZPX4f";0;0;0
