Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets;Texto_Traduz;Classificação_Blob;percent_pos_blob;percent_neg_blob;Azure_Sentiment;Azure_percent_pos;Azure_percent_neg;Azure_percent_neutro;Classificacao_flair;percent_pos_flar;percent_neg_flar;Percent_Media_final;Class_final
CardTiago;Card_Tiago91;2022-11-21 13:54:58+00:00;100 Tite convoca jogadores de acordo com empresários que molham o bolso dele e integrantes da CBF, quando não é isso é por causa de patrocínios. Ou seja, Tite e CBF são corruptos e jamais irei torcer para o sucesso de ambos, pena que as pessoas esquecem isso.;0;0;0;100 Tite summons players according to businessmen who wet his pockets and members of the CBF, when it's not that it's because of sponsorships. That is, Tite and CBF are corrupt and I will never hope for the success of both, too bad people forget that.;neg;0.0236658443857356;0.97633415561426;negative;0.0;1.0;0.0;NEGATIVE;3,30E+11;0.9999669790267944;0.0033902694760209622;Negativo
Flora Marques;CelysAzevedo14;2022-11-21 14:58:01+00:00;"Infelizmente temos um técnico da seleção brasileira que beija a face de Fidel Castro!!! Aaaff!! Isso é uma provocação ou armada?
NOTA ZERO PRO TITE!!!! ";0;0;0;"Unfortunately we have a coach from the Brazilian team who kisses Fidel Castro's face!!! Aaaff!! Is this a provocation or a weapon?
GRADE ZERO PRO TITE!!!!";neg;0.0329505644557272;0.9670494355442772;negative;0.0;0.86;0.14;NEGATIVE;0.00010836124420166016;0.9998916387557983;0.004738183849161503;Negativo
͏ ͏ ͏ ͏;krlapov;2022-11-21 14:45:49+00:00; eu tenho muita raiva pq o tite não inova nunca, sempre convoca os mesmos e dá merda;0;0;0;I'm very angry because tite never innovates, he always summons the same ones and it sucks;neg;0.0481477116444112;0.9518522883555888;negative;0.0;1.0;0.0;NEGATIVE;8,34E+10;0.9999165534973145;0.0069020863785403275;Negativo
Eric jean gonçalves;Ericjeandias23;2022-11-21 14:39:42+00:00; Se o Tite estiver envolvido nisso , eh pior ainda ! Um time do tamanho do Corinthians em função de um técnico ?! Seja o que for , trata-se de uma palhaçada deste presidente banana;0;0;0;If Tite is involved in this , it 's even worse ! A team the size of Corinthians because of a coach ?! Whatever it is, it's a joke from this banana president;neg;0.0510752916174038;0.9489247083825952;negative;0.0;1.0;0.0;NEGATIVE;5,13E+09;0.9999948740005493;0.007297934802329309;Negativo
Rê ✝️🇧🇷🇪🇸🌻;ReDominguez2021;2022-11-21 18:36:06+00:00; Não. E ainda se bobear vou torcer contra, por causa daquele idiota do Tite.;0;0;0;Not. And even if it sucks, I'll be rooting against it, because of that idiot Tite.;neg;0.048147632175792;0.9518523678242083;negative;0.0;1.0;0.0;NEGATIVE;0.006027877330780029;0.99397212266922;0.008600483833907437;Negativo
Carlos Leal;96c7e084acdb406;2022-11-21 17:07:25+00:00;F90BR Tite já perdeu uma Copa, vai perder a segunda Copa, e tem comentarista aí que sugeriu conversar com Tite pra ficar mais um ano. Só mesmo a ESPN pra achar isso;0;0;0;F90BR Tite has already lost a Cup, he's going to lose the second Cup, and there's a commentator who suggested talking to Tite about staying another year. Only ESPN could find this;neg;0.0522770397720436;0.947722960227953;negative;0.0;1.0;0.0;NEGATIVE;0.007382810115814209;0.9926171898841858;0.00957752285766743;Negativo
gTetra sportbet(ri) brasil;gtcrf_rdb;2022-11-21 20:21:16+00:00;isso aqui me causa uma revolta absurda! tite tem hora que irrita muito ;0;0;0;This here causes me an absurd revolt! you have times that irritate you a lot;neg;0.0677527300564417;0.9322472699435584;negative;0.0;1.0;0.0;NEGATIVE;8,61E+10;0.9999139308929443;0.009703552610079004;Negativo
ابراهيموفيتش;marcoasam;2022-11-21 22:11:29+00:00; Não fui convocado, tite esqueceu de mim.;0;0;0;I wasn't summoned, tite forgot about me.;neg;0.0196740126002147;0.980325987399784;negative;0.01;0.52;0.47;NEGATIVE;0.004270493984222412;0.9957295060157776;0.009745000081237075;Negativo
Angelo;angelofilho2;2022-11-21 19:22:29+00:00;22 Diretoria apostando de novo, não está certo e mesmo que o Tite volte no meio do ano como li por aí, já teríamos perdido o primeiro semestre. Cada ano que passa fica pior pra nós.;0;0;0;22 Board betting again, it's not right and even if Tite returns in the middle of the year as I've read around, we would have already lost the first semester. Every year that passes gets worse for us.;neg;0.068418877657784;0.9315811223422178;negative;0.0;1.0;0.0;NEGATIVE;3,34E+09;0.9999966621398926;0.009775079053999835;Negativo
ل🇩🇿🇱🇾;arabeavantgarde;2022-11-21 19:58:57+00:00;Ja vou avisar que se o brasil nao ganhar essa copa eu vou botar a culpa nao no neymar nao no richarlison nao no tite vou botar a culpa em VOCES que tao cantando vitoria antes da hora bando de pé frio boca diabo do caralho...;0;15;0;I'm going to warn you that if Brazil doesn't win this cup I'm going to blame it, not on neymar, not on richarlison, not on tite, I'm going to put the blame on YOU who are singing victory before it's time, bunch of feet, cold mouth, fucking devil...;neg;0.0931171103885736;0.9068828896114296;negative;0.0;1.0;0.0;NEGATIVE;0.0009489655494689941;0.999051034450531;0.0135735773553588;Negativo
